case_id,area,status,evidence
PAIR-001,source key mismatch,PASSED,"mismatch blocks publication and writes diagnostics"
PAIR-002,non-positive raw OHLC synchronous filter,PASSED,"both outputs retain one identical key; prices unchanged"
PAIR-003,non-positive qfq OHLC synchronous filter,PASSED,"both outputs retain one identical key; prices unchanged"
PAIR-004,non-positive hfq OHLC synchronous filter,PASSED,"both outputs retain one identical key; prices unchanged"
PAIR-005,listing and trading-day identity,PASSED,"first retained row keeps source listing date and listing_trading_day=2"
PAIR-006,pre-close execution semantics,FAILED,"raw close=-1 on filtered D1 remains raw_pre_close=-1 on retained D2"
PAIR-007,suspension semantics,PASSED,"zero volume/amount yields trade_status=0 and is_suspended=true"
PAIR-008,volume mismatch,PASSED,"mismatch is blocking"
PAIR-009,raw-qfq mapping,PASSED,"unevaluable mapping is blocking"
PAIR-010,duplicate source key,PASSED,"duplicate dates are reported and block publication"
PAIR-011,multi-batch output verification,PASSED,"one-row batches preserve key and duplicate checks"
PAIR-012,temporary failure cleanup,PASSED,"injected rename failure removes temporary candidate"
PAIR-013,existing output,PASSED,"pre-existing nonempty output is not overwritten"
PAIR-014,atomic candidate publication evidence,FAILED,"rename failure diagnostic records candidate_published=true although final root is absent"
PAIR-015,difference profile,PASSED,"profiles, key counts, raw-only year/exchange/code breakdown and source hashes present"
PAIR-016,CLI routing,PASSED,"dedicated prepare-stock-rs-pullback-core-input-pair command and explicit paths exposed"
PAIR-017,permission gates,PASSED,"config-check OK; trading/account/ticket and formal run remain disabled"
PAIR-018,focused regression,PASSED,"16 passed"
PAIR-019,full regression,PASSED,"239 passed"
