trade_id,check_id,check_name,severity,recorded_value,recalculated_value,difference,verdict,blocking,evidence,reviewer,reviewed_at,notes
STOCK_RS_PULLBACK_v1:000034.SZ:2015-11-09:2015-11-10,UNIVERSE_TRADABLE_AT_SIGNAL,Signal-day universe,CRITICAL,"""000034.SZ""",true,,PASS,True,"""signal_date=2015-11-09 00:00:00""",OpenCode (assistant),2026-07-18T13:40:16.915473+00:00,"Reviewed against locked signal, frozen qfq layer, remediation raw/hfq layers, and independent reconstruction."
STOCK_RS_PULLBACK_v1:000034.SZ:2015-11-09:2015-11-10,DATE_ORDER_VALID,Pullback/trigger/entry order,CRITICAL,"[""2015-11-06 00:00:00"", ""2015-11-09 00:00:00"", ""2015-11-10 00:00:00""]",true,,PASS,True,"""strictly increasing dates""",OpenCode (assistant),2026-07-18T13:40:16.915473+00:00,"Reviewed against locked signal, frozen qfq layer, remediation raw/hfq layers, and independent reconstruction."
STOCK_RS_PULLBACK_v1:000034.SZ:2015-11-09:2015-11-10,NO_LOOKAHEAD_IN_INDICATORS,Prefix-only indicator reconstruction,CRITICAL,"{""high_10d"": 11.33, ""ma20"": 10.1985, ""ma60"": 7.100833333333333, ""ret20"": 0.2207505518763797, ""vol_ma5"": 25407258.2}","{""high_10d"": 11.33, ""ma20"": 10.1985, ""ma60"": 7.100833333333335, ""ret20"": 0.2207505518763797, ""vol_ma5"": 25407258.2}",,PASS,True,"""prefix-only rolling recomputation""",OpenCode (assistant),2026-07-18T13:40:16.915473+00:00,"Reviewed against locked signal, frozen qfq layer, remediation raw/hfq layers, and independent reconstruction."
STOCK_RS_PULLBACK_v1:000034.SZ:2015-11-09:2015-11-10,ENTRY_IS_NEXT_TRADING_DAY_OPEN,Next trading-day raw open entry,CRITICAL,"[""2015-11-10"", 17.4]","[""2015-11-10 00:00:00"", 17.4]",,PASS,True,"""first stock bar after trigger; raw open required""",OpenCode (assistant),2026-07-18T13:40:16.915473+00:00,"Reviewed against locked signal, frozen qfq layer, remediation raw/hfq layers, and independent reconstruction."
STOCK_RS_PULLBACK_v1:000034.SZ:2015-11-09:2015-11-10,ENTRY_DAY_EXECUTABLE,Entry-day execution status,CRITICAL,"{""adj_close"": 12.32, ""adj_factor"": 0.7150374174438137, ""adj_high"": 12.32, ""adj_low"": 10.81, ""adj_offset"": -1.5230738294631525, ""adj_open"": 10.92, ""adj_type"": ""qfq"", ""adjustment_fit_error"": 0.0014227659407950455, ""adjustment_status"": ""KNOWN_AFFINE_TDX_QFQ_HFQ_VALIDATED"", ""board"": ""MAIN_SZ"", ""can_buy_at_open"": ""TRUE"", ""can_sell_at_close"": ""TRUE"", ""can_sell_at_open"": ""TRUE"", ""can_sell_intraday"": ""TRUE"", ""close"": 12.32, ""close_at_limit_down"": ""FALSE"", ""close_at_limit_up"": ""UNKNOWN"", ""closing_auction_fill_status"": ""UNKNOWN"", ""code"": ""000034.SZ"", ""date"": ""2015-11-10 00:00:00"", ""hfq_close"": 54.66, ""hfq_fit_error"": 0.000838415643670487, ""hfq_high"": 54.66, ""hfq_low"": 48.73, ""hfq_open"": 49.15, ""high"": 12.32, ""historical_st_branch_status"": ""PASS_BRANCH_INVARIANT"", ""historical_st_status"": ""UNKNOWN"", ""is_suspended"": false, ""limit_down_price"": NaN, ""limit_rule_reason"": ""point-in-time ST status unavailable; execution state resolved only where both ST rule candidates agree"", ""limit_rule_status"": ""UNKNOWN_MISSING_HISTORICAL_ST"", ""limit_up_price"": NaN, ""listing_date"": ""1994-05-09 00:00:00"", ""listing_trading_day"": 4780.0, ""low"": 10.81, ""one_price_limit_down"": ""FALSE"", ""one_price_limit_up"": ""FALSE"", ""open"": 10.92, ""open_at_limit_down"": ""FALSE"", ""open_at_limit_up"": ""FALSE"", ""opening_auction_fill_status"": ""UNKNOWN"", ""raw_close"": 19.36, ""raw_high"": 19.36, ""raw_low"": 17.25, ""raw_open"": 17.4, ""raw_pre_close"": 17.6, ""scheduled_close_fill_status"": ""FILLED_AT_CLOSE"", ""volume"": 34412551.0}","{""executable"": true, ""expected_outcome"": ""valid trade requires executable entry""}",,PASS,True,"""raw open, adjustment factor, trade status, and explicit open fillability""",OpenCode (assistant),2026-07-18T13:40:16.915473+00:00,"Reviewed against locked signal, frozen qfq layer, remediation raw/hfq layers, and independent reconstruction."
STOCK_RS_PULLBACK_v1:000034.SZ:2015-11-09:2015-11-10,T1_NO_ENTRY_DAY_EXIT,A-share T+1,CRITICAL,"[""2015-11-10 00:00:00"", ""2015-11-11 00:00:00""]",true,,PASS,True,"""exit must follow entry date""",OpenCode (assistant),2026-07-18T13:40:16.915473+00:00,"Reviewed against locked signal, frozen qfq layer, remediation raw/hfq layers, and independent reconstruction."
STOCK_RS_PULLBACK_v1:000034.SZ:2015-11-09:2015-11-10,EXIT_DATE_REASON_RECONSTRUCTION,Independent exit date and reason,CRITICAL,"[""2015-11-11 00:00:00"", ""target_2r""]","[""2015-11-11 00:00:00"", ""target_2r""]",,PASS,True,"""full post-entry replay with T+1 and sellability""",OpenCode (assistant),2026-07-18T13:40:16.915473+00:00,"Reviewed against locked signal, frozen qfq layer, remediation raw/hfq layers, and independent reconstruction."
STOCK_RS_PULLBACK_v1:000034.SZ:2015-11-09:2015-11-10,HOLDING_DAYS_RECONSTRUCTION,Holding days including deferred fills,CRITICAL,2,2,0.0,PASS,True,"""target_2r""",OpenCode (assistant),2026-07-18T13:40:16.915473+00:00,"Reviewed against locked signal, frozen qfq layer, remediation raw/hfq layers, and independent reconstruction."
STOCK_RS_PULLBACK_v1:000034.SZ:2015-11-09:2015-11-10,EXIT_PRICE_RECONSTRUCTION,Independent adjusted exit price,CRITICAL,12.476398305084745,12.48,-0.0036016949152557487,PASS,True,"""full post-entry replay""",OpenCode (assistant),2026-07-18T13:40:16.915473+00:00,"Reviewed against locked signal, frozen qfq layer, remediation raw/hfq layers, and independent reconstruction."
STOCK_RS_PULLBACK_v1:000034.SZ:2015-11-09:2015-11-10,GROSS_RETURN_RECALCULATION,Gross return,CRITICAL,0.14252731731545287,0.1428571428571428,-0.00032982554168992095,PASS,True,"""round_trip_cost=0.002""",OpenCode (assistant),2026-07-18T13:40:16.915473+00:00,"Reviewed against locked signal, frozen qfq layer, remediation raw/hfq layers, and independent reconstruction."
