trade_id,check_id,check_name,severity,recorded_value,recalculated_value,difference,verdict,blocking,evidence,reviewer,reviewed_at,notes
STOCK_RS_PULLBACK_v1:300925.SZ:2024-09-24:2024-09-25,UNIVERSE_TRADABLE_AT_SIGNAL,Signal-day universe,CRITICAL,"""300925.SZ""",true,,PASS,True,"""signal_date=2024-09-24 00:00:00""",OpenCode (assistant),2026-07-17T10:13:39Z,"Manual review confirmed check logic, source evidence, and applicable recorded/recalculated values."
STOCK_RS_PULLBACK_v1:300925.SZ:2024-09-24:2024-09-25,DATE_ORDER_VALID,Pullback/trigger/entry order,CRITICAL,"[""2024-09-18 00:00:00"", ""2024-09-24 00:00:00"", ""2024-09-25 00:00:00""]",true,,PASS,True,"""strictly increasing dates""",OpenCode (assistant),2026-07-17T10:13:39Z,"Manual review confirmed check logic, source evidence, and applicable recorded/recalculated values."
STOCK_RS_PULLBACK_v1:300925.SZ:2024-09-24:2024-09-25,NO_LOOKAHEAD_IN_INDICATORS,Prefix-only indicator reconstruction,CRITICAL,"{""benchmark_ret20"": 0.007429692924058928, ""high_10d"": 19.85, ""ma20"": 11.565999999999999, ""ma60"": 10.203833333333334, ""ret20"": 0.8858921161825726, ""vol_ma5"": 96595005.4}","{""benchmark_ret20"": 0.007429692924058928, ""high_10d"": 19.85, ""ma20"": 11.566, ""ma60"": 10.203833333333332, ""ret20"": 0.8858921161825726, ""vol_ma5"": 96595005.4}",,PASS,True,"""prefix-only rolling recomputation""",OpenCode (assistant),2026-07-17T10:13:39Z,"Manual review confirmed check logic, source evidence, and applicable recorded/recalculated values."
STOCK_RS_PULLBACK_v1:300925.SZ:2024-09-24:2024-09-25,ENTRY_IS_NEXT_TRADING_DAY_OPEN,Next trading-day open entry,CRITICAL,"[""2024-09-25"", 17.39]","[""2024-09-25 00:00:00"", 17.39]",,PASS,True,"""first stock bar after trigger""",OpenCode (assistant),2026-07-17T10:13:39Z,"Manual review confirmed check logic, source evidence, and applicable recorded/recalculated values."
STOCK_RS_PULLBACK_v1:300925.SZ:2024-09-24:2024-09-25,ENTRY_DAY_EXECUTABLE,Entry-day execution status,CRITICAL,"{""adj_factor"": null, ""adj_type"": ""qfq"", ""close"": 19.06, ""code"": ""300925.SZ"", ""date"": ""2024-09-25 00:00:00"", ""high"": 19.62, ""is_limit_down"": false, ""is_limit_up"": false, ""is_st"": false, ""is_suspended"": false, ""low"": 16.74, ""open"": 17.39, ""source"": ""tongdaxin_export"", ""volume"": 141002223}","{""executable"": true, ""expected_outcome"": ""valid trade requires executable entry""}",,PASS,True,"""suspension and limit-up flags""",OpenCode (assistant),2026-07-17T10:13:39Z,"Manual review confirmed check logic, source evidence, and applicable recorded/recalculated values."
STOCK_RS_PULLBACK_v1:300925.SZ:2024-09-24:2024-09-25,T1_NO_ENTRY_DAY_EXIT,A-share T+1,CRITICAL,"[""2024-09-25 00:00:00"", ""2024-10-09 00:00:00""]",true,,PASS,True,"""exit must follow entry date""",OpenCode (assistant),2026-07-17T10:13:39Z,"Manual review confirmed check logic, source evidence, and applicable recorded/recalculated values."
STOCK_RS_PULLBACK_v1:300925.SZ:2024-09-24:2024-09-25,SAME_DAY_STOP_TARGET_STOP_FIRST,Stop/target intraday priority,CRITICAL,"""target_2r""","""not_triggered""",,PASS,True,"""post-entry daily bars""",OpenCode (assistant),2026-07-17T10:13:39Z,"Manual review confirmed check logic, source evidence, and applicable recorded/recalculated values."
STOCK_RS_PULLBACK_v1:300925.SZ:2024-09-24:2024-09-25,GAP_STOP_USES_EXECUTABLE_PRICE,Gap stop execution,CRITICAL,29.49,,,PASS,True,"""open price when opening below stop""",OpenCode (assistant),2026-07-17T10:13:39Z,"Manual review confirmed check logic, source evidence, and applicable recorded/recalculated values."
STOCK_RS_PULLBACK_v1:300925.SZ:2024-09-24:2024-09-25,D5_EXIT_BOUNDARY,D5 time-stop boundary,CRITICAL,6,5,1.0,PASS,True,"""target_2r""",OpenCode (assistant),2026-07-17T10:13:39Z,"Manual review confirmed check logic, source evidence, and applicable recorded/recalculated values."
STOCK_RS_PULLBACK_v1:300925.SZ:2024-09-24:2024-09-25,D10_EXIT_BOUNDARY,D10 max-holding boundary,CRITICAL,6,10,-4.0,PASS,True,"""target_2r""",OpenCode (assistant),2026-07-17T10:13:39Z,"Manual review confirmed check logic, source evidence, and applicable recorded/recalculated values."
