case_id,category,status,evidence
FROZEN_IMPLEMENTATION,preflight,PASSED,"f90bd7c production/test hashes equal runtime files at 3792484"
SOURCE_FILE_SET,source_keys,PASSED,"identical raw/qfq/hfq file sets required; mismatch blocks"
SOURCE_PRIMARY_KEYS,source_keys,PASSED,"date-set equality, one-to-one merge, mismatch diagnostics and fail-closed tests"
THREE_LAYER_RAW,paired_filter,PASSED,"semantic_probe_results.json: three_layer_sync_filter_raw"
THREE_LAYER_QFQ,paired_filter,PASSED,"semantic_probe_results.json: three_layer_sync_filter_qfq"
THREE_LAYER_HFQ,paired_filter,PASSED,"semantic_probe_results.json: three_layer_sync_filter_hfq"
QFQ_FILTER_PRE_CLOSE,execution_semantics,PASSED,"qfq-only invalid OHLC retains true positive immediate source qfq close=6.25"
RAW_UNSAFE_PRE_CLOSE,execution_semantics,PASSED,"non-positive raw source predecessor synchronously rejects next row; no fallback"
QFQ_UNSAFE_PRE_CLOSE,execution_semantics,PASSED,"non-positive qfq source predecessor synchronously rejects next row; no fallback"
PRICE_IMMUTABILITY,data_integrity,PASSED,"retained raw/qfq OHLC unchanged; price_values_transformed=false"
LISTING_IDENTITY,data_integrity,PASSED,"source listing date and pre-filter listing_trading_day preserved"
SUSPENSION,data_integrity,PASSED,"zero-volume/amount status handled by canonical trade_status/is_suspended path"
VOLUME_MATCH,data_integrity,PASSED,"raw/qfq volume mismatch is blocking"
MAPPING,data_integrity,PASSED,"unevaluable raw/qfq affine or stable daily-ratio mapping is blocking"
DUPLICATES,data_integrity,PASSED,"source/output duplicate primary keys are blocking"
STREAMING,scalability,PASSED,"per-symbol source processing and batched Parquet output verification; batch-boundary regression passed"
DIFFERENCE_PROFILE,auditability,PASSED,"raw/qfq-only counts plus raw-only year/exchange/code/date breakdown persisted"
CLI_ROUTE,routing,PASSED,"explicit raw/qfq/hfq/output/diagnostics arguments exposed by dedicated CLI"
RENAME_FAILURE,publication,PASSED,"candidate_published=false; atomic_rename_completed=false; final/tmp absent"
RENAME_SUCCESS,publication,PASSED,"candidate_published=true and atomic_rename_completed=true only after final rename"
FOCUSED_TESTS,verification,PASSED,"11 passed"
FULL_REGRESSION,verification,PASSED,"241 passed"
CONFIG_CHECK,safety,PASSED,"config-check: OK; trading_allowed=false; current_setup=null"
DIFF_CHECK,verification,PASSED,"git diff --check passed"
PERMISSIONS,safety,PASSED,"no formal input/Manifest/recalculation/account/ticket/trading action"
